seller_id;seller_reputation+power_seller_status;seller_reputation+level_id;years_antiquity;seller_reputation+metrics+sales+period;n_items;n_subcategories;sold_items;mean_intallments;q10_discount;q50_discount;q90_discount;total_transactions;completed_transactions;canceled_transactions;negative_rating;neutral_rating;positive_rating;total_claims;total_delayed_shipments;total_cancellations;gold_pro;gold_special;label
49907902;Not_medal;5_green;15.017111567419576;365 days;1;1;25;12.0;0.0;0.0;0.0;47;45;2;0.0;1.0;0.0;0;0;0;1.0;0.0;6
50557397;platinum;5_green;14.978781656399725;60 days;1;1;2;36.0;0.0;0.0;0.0;10268;9803;465;0.03;0.02;0.95;9;3;1;0.0;1.0;4
51723829;gold;5_green;12.131416837782341;60 days;2;1;6;36.0;1.5000000000000002;7.500000000000001;13.500000000000002;7102;6586;516;0.07;0.04;0.89;10;2;2;0.0;1.0;0
51982422;gold;5_green;14.885694729637235;60 days;1;1;3;36.0;5.000000000000004;5.000000000000004;5.000000000000004;2491;2417;74;0.0;0.0;1.0;0;0;0;0.0;1.0;0
52392766;platinum;5_green;12.112251882272416;60 days;2;2;10;36.0;2.2234574763757644;11.117287381878821;20.01111728738188;118770;114894;3876;0.02;0.02;0.96;112;48;26;0.0;1.0;4
53544867;silver;5_green;14.77618069815195;60 days;1;1;50;36.0;0.0;0.0;0.0;1235;1173;62;0.05;0.01;0.94;0;5;1;0.0;1.0;5
54932662;silver;5_green;14.680355920602327;60 days;1;1;500;12.0;5.0035087719298215;5.0035087719298215;5.0035087719298215;3603;3446;157;0.06;0.0;0.94;1;0;0;1.0;0.0;2
55477565;platinum;5_green;15.43874058863792;60 days;4;3;2000;36.0;0.0;2.500000000000002;5.0004389815627786;113380;108048;5332;0.01;0.01;0.98;116;16;0;0.0;1.0;4
56247344;platinum;5_green;14.680355920602327;60 days;4;2;656;36.0;15.600690490659366;17.000389559797423;22.600116867939228;17416;16272;1144;0.03;0.01;0.96;24;16;16;0.0;1.0;4
61338999;platinum;5_green;14.507871321013004;60 days;1;1;5;36.0;0.0;0.0;0.0;4348;4081;267;0.06;0.01;0.93;3;1;4;0.0;1.0;4
61678362;platinum;5_green;19.091033538672143;60 days;3;2;303;36.0;0.0;0.0;28.07017543859649;150180;145125;5055;0.03;0.02;0.9499999999999998;129;411;9;0.0;1.0;4
